method_id,method_label,method_order,seed,grade_mae_deg,p95_abs_error_deg
modern_tcn_delta_bank_124,ModernTCN-delta,0,1,0.5640103534129061,1.7197415280491877
modern_tcn_delta_bank_124,ModernTCN-delta,0,7,0.5733422854140873,1.6715457922748738
modern_tcn_delta_bank_124,ModernTCN-delta,0,11,0.6102967135396983,1.7358486082159588
modern_tcn_delta_bank_124,ModernTCN-delta,0,21,0.518888639453515,1.4107342717659963
modern_tcn_delta_bank_124,ModernTCN-delta,0,42,0.582150184564468,1.7582118281674506
modern_tcn_delta_bank_124,ModernTCN-delta,0,73,0.5947506450588732,1.5650665982295997
modern_tcn_delta_bank_124,ModernTCN-delta,0,101,0.5610719202238796,1.5875454578194124
modern_tcn_delta_bank_124,ModernTCN-delta,0,202,0.7087790896924933,1.7958515265898298
modern_tcn_delta_bank_124,ModernTCN-delta,0,340,0.5734636325366911,1.7105468127658812
modern_tcn_delta_bank_124,ModernTCN-delta,0,520,0.7020882462333685,1.8226574310807648
modern_tcn_22d,ModernTCN-22D,1,1,0.767275450947987,2.055317473151788
modern_tcn_22d,ModernTCN-22D,1,7,0.6812975983585782,1.8926733667572349
modern_tcn_22d,ModernTCN-22D,1,11,0.6630845110736545,1.7304839748705898
modern_tcn_22d,ModernTCN-22D,1,21,0.6184027337403343,1.757248871546078
modern_tcn_22d,ModernTCN-22D,1,42,0.6701116679363751,1.8695615674108588
modern_tcn_22d,ModernTCN-22D,1,73,0.5875393889997269,1.6342968220276803
modern_tcn_22d,ModernTCN-22D,1,101,0.5687614422182402,1.5277837571810338
modern_tcn_22d,ModernTCN-22D,1,202,0.7392885236445184,2.123269104213541
modern_tcn_22d,ModernTCN-22D,1,340,0.6347800857442446,1.7648140531038077
modern_tcn_22d,ModernTCN-22D,1,520,0.5994871625616214,1.7071978322776065
gru_22d,GRU-22D,2,1,1.011032396103312,2.350827315139691
gru_22d,GRU-22D,2,7,0.9454165266549288,2.5814569634180007
gru_22d,GRU-22D,2,11,0.8404109375416946,2.073971386785769
gru_22d,GRU-22D,2,21,0.7803950594389041,2.047026904159862
gru_22d,GRU-22D,2,42,0.9286960711359667,2.143432583035556
gru_22d,GRU-22D,2,73,1.1104374966607364,2.90706604835575
gru_22d,GRU-22D,2,101,0.8088671267874874,2.10651294263221
gru_22d,GRU-22D,2,202,0.6370455844165206,1.8130641102263745
gru_22d,GRU-22D,2,340,0.8109447878360003,2.183000749351528
gru_22d,GRU-22D,2,520,0.9850425315542392,2.388640549725764
tcn_22d,TCN-22D,3,1,1.0015043906106025,2.6942845514925424
tcn_22d,TCN-22D,3,7,0.917539636507359,2.2094647841982047
tcn_22d,TCN-22D,3,11,1.0538205993934318,2.6498388030159625
tcn_22d,TCN-22D,3,21,0.8696876950217258,2.858282316003222
tcn_22d,TCN-22D,3,42,0.9694041070079638,2.937308765298826
tcn_22d,TCN-22D,3,73,0.7714682205531258,2.6514528620942066
tcn_22d,TCN-22D,3,101,0.8929929030309933,2.1428855275717367
tcn_22d,TCN-22D,3,202,0.8803098434901522,2.262214014993096
tcn_22d,TCN-22D,3,340,0.9650134023620206,3.658115890646154
tcn_22d,TCN-22D,3,520,0.8319504944448632,2.294114120026953
